Time;FRT 01 pressure [kPa];FRT 01 temperature [degC];FRT 01 tension [kPa];FRT 02 pressure [kPa];FRT 02 temperature [degC];FRT 02 tension [kPa];FRT 03 pressure [kPa];FRT 03 temperature [degC];FRT 03 tension [kPa];FRT E-01 pressure [kPa];FRT E-01 temperature [degC];FRT E-01 tension [kPa];FRT E-02 pressure [kPa];FRT E-02 temperature [degC];FRT E-02 tension [kPa];FRT E-03 pressure [kPa];FRT E-03 temperature [degC];FRT E-03 tension [kPa];FRT E-04 pressure [kPa];FRT E-04 temperature [degC];FRT E-04 tension [kPa];FRT E-05 pressure [kPa];FRT E-05 temperature [degC];FRT E-05 tension [kPa];FRT E-06 pressure [kPa];FRT E-06 temperature [degC];FRT E-06 tension [kPa];FRT E-07 pressure [kPa];FRT E-07 temperature [degC];FRT E-07 tension [kPa];FRT E-08 pressure [kPa];FRT E-08 temperature [degC];FRT E-08 tension [kPa];FRT E-09 pressure [kPa];FRT E-09 temperature [degC];FRT E-09 tension [kPa];FRT E-10 pressure [kPa];FRT E-10 temperature [degC];FRT E-10 tension [kPa];FRT E-11 pressure [kPa];FRT E-11 temperature [degC];FRT E-11 tension [kPa];FRT E-12 pressure [kPa];FRT E-12 temperature [degC];FRT E-12 tension [kPa];LBC active [];LBC pressure [kPa];LBC setpoint H [%];LBC setpoint P [kPa];UMP 01 EC [mS/cm];UMP 01 temperature [degC];UMP 01 water content [Vol%];UMP 02 EC [mS/cm];UMP 02 temperature [degC];UMP 02 water content [Vol%];UMP 03 EC [mS/cm];UMP 03 temperature [degC];UMP 03 water content [Vol%];air humidity [%];air pressure [hPa];air temperature [degC];battery logger [V];global radiation  [W/m2];lysimeter weight [g];rain sum [mm];supply voltage [V];tank weight [g];temperature logger [degC];water discharge [ml];wind speed [m/s]
10/09/2023 02:00;205;30.7;2338;2112;30.3;331;2185;29.5;254;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.00933;16;30;;;;;;;;;;27;938;25;3.65;0.777;852229;0;13;6897;26.8;0;0.611
10/09/2023 02:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00613;32.5;10.1;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
10/09/2023 02:15;208;30.6;2333;2112;30.3;332;2185;29.5;254;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.0135;16;30;;;;;;;;;;27;938;24.5;3.65;0.817;852233;0;12.8;6895;26.4;0;0.673
10/09/2023 02:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0061;32.4;10.1;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
10/09/2023 02:30;211;30.5;2328;2111;30.3;333;2185;29.5;254;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.00953;16;30;;;;;;;;;;26;938;24.9;3.65;0.747;852234;0;12.8;6896;26;0;1.1
10/09/2023 02:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00606;32.2;10.1;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
10/09/2023 02:45;214;30.4;2323;2110;30.3;334;2185;29.5;255;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.000212;16;30;;;;;;;;;;25;938;25.4;3.65;0.707;852231;0;12.8;6896;25.7;0;0.39
10/09/2023 02:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00602;32.1;10.1;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
10/09/2023 03:00;218;30.3;2318;2109;30.3;334;2185;29.5;255;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.00373;16;30;;;;;;;;;;24.5;938;25;3.65;0.697;852231;0;12.8;6895;25.5;0;0.659
10/09/2023 03:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00598;32;9.94;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
10/09/2023 03:15;221;30.2;2312;2108;30.3;334;2185;29.5;255;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;0;0.0168;16;30;;;;;;;;;;27.5;938;23.4;3.65;0.876;852231;0;12.8;6896;25.3;0;0.491
10/09/2023 03:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00594;31.9;9.94;0;0;0;1.66;30.8;40.9;;;;;;;;;;;;
