Time;FRT 01 pressure [kPa];FRT 01 temperature [degC];FRT 01 tension [kPa];FRT 02 pressure [kPa];FRT 02 temperature [degC];FRT 02 tension [kPa];FRT 03 pressure [kPa];FRT 03 temperature [degC];FRT 03 tension [kPa];FRT E-01 pressure [kPa];FRT E-01 temperature [degC];FRT E-01 tension [kPa];FRT E-02 pressure [kPa];FRT E-02 temperature [degC];FRT E-02 tension [kPa];FRT E-03 pressure [kPa];FRT E-03 temperature [degC];FRT E-03 tension [kPa];FRT E-04 pressure [kPa];FRT E-04 temperature [degC];FRT E-04 tension [kPa];FRT E-05 pressure [kPa];FRT E-05 temperature [degC];FRT E-05 tension [kPa];FRT E-06 pressure [kPa];FRT E-06 temperature [degC];FRT E-06 tension [kPa];FRT E-07 pressure [kPa];FRT E-07 temperature [degC];FRT E-07 tension [kPa];FRT E-08 pressure [kPa];FRT E-08 temperature [degC];FRT E-08 tension [kPa];FRT E-09 pressure [kPa];FRT E-09 temperature [degC];FRT E-09 tension [kPa];FRT E-10 pressure [kPa];FRT E-10 temperature [degC];FRT E-10 tension [kPa];FRT E-11 pressure [kPa];FRT E-11 temperature [degC];FRT E-11 tension [kPa];FRT E-12 pressure [kPa];FRT E-12 temperature [degC];FRT E-12 tension [kPa];LBC active [];LBC pressure [kPa];LBC setpoint H [%];LBC setpoint P [kPa];UMP 01 EC [mS/cm];UMP 01 temperature [degC];UMP 01 water content [Vol%];UMP 02 EC [mS/cm];UMP 02 temperature [degC];UMP 02 water content [Vol%];UMP 03 EC [mS/cm];UMP 03 temperature [degC];UMP 03 water content [Vol%];air humidity [%];air pressure [hPa];air temperature [degC];battery logger [V];global radiation  [W/m2];lysimeter weight [g];rain sum [mm];supply voltage [V];tank weight [g];temperature logger [degC];water discharge [ml];wind speed [m/s]
10/12/2024 01:00;642;11.7;1478;1417;13.4;663;1530;14;580;1958;12.1;86.8;2101;14;5.9;1821;12.1;252;2168;13;-32;2090;13.1;2.4;2186;15;-40.5;2134;13.5;-48.1;2121;15;26.9;2143;13.7;-6.8;2164;15.4;-35.2;2141;14.5;50.7;2079;13.1;33.3;0;0.295;16;30;;;;;;;;;;46.6;936;7.25;3.65;0.558;849455;0;13.1;5423;6.2;0;0.00999
10/12/2024 01:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.054;12.2;14.1;0;0;0;0.97;15.3;31.8;;;;;;;;;;;;
10/12/2024 01:15;639;11.6;1478;1416;13.4;663;1531;14;580;1958;12.1;86.9;2101;14;6;1821;12.1;252;2168;13;-31.9;2089;13.1;2.5;2186;15;-40.4;2133;13.5;-47.8;2121;15;27;2142;13.6;-6.8;2164;15.4;-35.5;2141;14.5;50.4;2079;13.1;33.5;0;0.296;16;30;;;;;;;;;;43.1;936;7.45;3.65;0.578;849458;0;13.1;5418;6.03;0;0.258
10/12/2024 01:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0542;12.1;14.1;0;0;0;0.97;15.2;31.8;;;;;;;;;;;;
10/12/2024 01:30;636;11.5;1478;1416;13.4;663;1531;14;579;1957;12.1;86.7;2101;14;5.9;1820;12.1;253;2168;13;-32.1;2088;13;2.1;2186;15;-40.2;2132;13.4;-47.7;2121;15;27;2141;13.6;-6.8;2164;15.4;-35.5;2142;14.5;50.2;2078;13.1;34.1;0;0.297;16;30;;;;;;;;;;42.2;936;7.58;3.65;0.518;849461;0;13;5418;5.9;0;0.321
10/12/2024 01:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0529;12;14.1;0;0;0;0.972;15.3;31.7;;;;;;;;;;;;
10/12/2024 01:45;634;11.4;1479;1416;13.4;663;1531;14;580;1956;12;86.9;2101;14;5.9;1820;12;252;2168;13.1;-31.8;2087;13;2.5;2186;15;-40.1;2131;13.4;-47.5;2121;15;27;2140;13.5;-7;2164;15.4;-35.5;2142;14.5;50.1;2077;13;33.8;0;0.296;16;30;;;;;;;;;;44.6;935;6.7;3.65;0.488;849478;0;13.1;5418;5.8;0;0.00921
10/12/2024 01:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0532;11.9;14.1;0;0;0;0.972;15.2;31.7;;;;;;;;;;;;
10/12/2024 02:00;631;11.3;1478;1415;13.3;663;1531;14;579;1955;12;86.8;2101;14;5.8;1819;12.1;253;2168;13;-32.3;2086;13;2.4;2186;15;-40.3;2131;13.4;-47.2;2122;15;26.9;2139;13.5;-6.8;2164;15.4;-35.5;2142;14.5;50.1;2076;13;33.7;0;0.297;16;30;;;;;;;;;;54.9;935;5.85;3.65;0.488;849494;0;13;5418;5.72;0;0.00909
10/12/2024 02:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.053;11.8;14.1;0;0;0;0.973;15.3;31.7;;;;;;;;;;;;
10/12/2024 02:15;629;11.3;1478;1415;13.3;663;1531;14;580;1955;12;86.9;2101;14;5.7;1819;12;252;2168;13;-32.2;2085;12.9;2.6;2186;15;-40.1;2130;13.4;-47.5;2122;15;27.1;2138;13.5;-7;2164;15.4;-35.5;2142;14.5;49.6;2075;12.9;33.4;0;0.296;16;30;;;;;;;;;;53.9;935;5.46;3.65;0.509;849506;0;13;5416;5.59;0;0.0147
10/12/2024 02:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0532;11.6;14.1;0;0;0;0.972;15.2;31.7;;;;;;;;;;;;
10/12/2024 02:30;627;11.2;1478;1414;13.3;663;1531;14;580;1954;12;87.3;2101;14;5.8;1818;12;252;2168;13;-32.1;2084;12.9;2.4;2186;15;-40.4;2129;13.3;-47.9;2122;15;26.6;2137;13.4;-7.4;2164;15.4;-35.2;2142;14.5;49.8;2074;12.9;33.5;0;0.295;16;30;;;;;;;;;;51.5;935;6.21;3.65;0.459;849513;0;13;5416;5.43;0;0.0638
10/12/2024 02:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0521;11.6;14.1;0;0;0;0.975;15.3;31.7;;;;;;;;;;;;
10/12/2024 02:45;625;11.1;1478;1414;13.3;663;1531;14;580;1953;11.9;86.9;2101;14;5.7;1818;12;252;2168;13;-32.1;2083;12.8;2.5;2186;15;-40.3;2128;13.3;-47.7;2122;15;27.2;2136;13.4;-7.5;2164;15.4;-35.5;2142;14.5;49.5;2074;12.9;34;0;0.299;16;30;;;;;;;;;;53.4;935;5.85;3.65;0.548;849519;0;13;5414;5.27;0;0.0532
10/12/2024 02:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0522;11.5;14.1;0;0;0;0.975;15.3;31.7;;;;;;;;;;;;
10/12/2024 03:00;623;11;1477;1413;13.3;664;1531;14;580;1952;11.9;87;2101;14;5.9;1817;12;252;2168;13;-32.2;2082;12.8;2.2;2186;15;-40.5;2127;13.2;-48;2122;15;26.3;2135;13.3;-7.4;2164;15.4;-35.7;2142;14.5;49.4;2073;12.9;33.8;0;0.298;16;30;;;;;;;;;;53.4;935;5.23;3.65;0.568;849534;0;13;5413;5.13;0;0.0971
10/12/2024 03:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0519;11.4;13.9;0;0;0;0.973;15.3;31.7;;;;;;;;;;;;
10/12/2024 03:15;622;10.9;1477;1413;13.3;664;1531;14;580;1952;11.8;86.8;2101;14;5.4;1817;11.9;252;2168;13;-32.2;2081;12.7;2.2;2186;15;-40.6;2126;13.2;-47.8;2122;15;27;2133;13.2;-8.2;2164;15.5;-35.1;2142;14.5;49.6;2072;12.8;34.2;0;0.3;16;30;;;;;;;;;;57.3;935;5.25;3.65;0.528;849539;0;13;5412;4.97;0;0.00874
10/12/2024 03:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0518;11.3;13.9;0;0;0;0.974;15.3;31.7;;;;;;;;;;;;
10/12/2024 03:30;620;10.8;1477;1412;13.2;663;1531;14;580;1951;11.8;86.6;2101;14;5.5;1816;11.9;252;2168;13;-32.2;2080;12.7;2.5;2186;15;-40;2126;13.2;-48.1;2122;15;27.1;2132;13.2;-7.7;2164;15.4;-35.3;2142;14.5;50.2;2071;12.8;33.3;0;0.299;16;30;;;;;;;;;;58.3;935;4.58;3.65;0.499;849548;0;13;5411;4.8;0;0.00862
10/12/2024 03:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0507;11.2;14;0;0;0;0.972;15.2;31.7;;;;;;;;;;;;
10/12/2024 03:45;618;10.7;1476;1412;13.2;664;1531;14;580;1950;11.8;86.4;2101;14;5.9;1816;11.9;252;2168;13;-32.6;2078;12.7;2.3;2186;15;-40;2125;13.1;-48;2122;15;26;2131;13.1;-8.1;2165;15.5;-35.2;2142;14.5;49.5;2070;12.7;33.7;0;0.299;16;30;;;;;;;;;;54.9;935;5.71;3.65;0.518;849544;0;13;5409;4.64;0;0.00889
10/12/2024 03:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0505;11.1;14;0;0;0;0.974;15.2;31.7;;;;;;;;;;;;
10/12/2024 04:00;617;10.7;1476;1411;13.2;664;1531;14;580;1949;11.7;86.2;2101;14;5.4;1815;11.9;252;2168;13;-32.3;2077;12.6;2.2;2186;15;-40;2124;13.1;-48;2122;15;25.9;2130;13.1;-8.1;2165;15.4;-35.5;2142;14.5;49.1;2069;12.7;33.5;0;0.298;16;30;;;;;;;;;;53.4;935;7.35;3.65;0.488;849508;0;13;5412;4.54;0;0.812
10/12/2024 04:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0498;11;14;0;0;0;0.973;15.3;31.7;;;;;;;;;;;;
10/12/2024 04:15;615;10.6;1476;1410;13.2;664;1531;14;580;1949;11.7;86.6;2101;14;5.4;1815;11.8;251;2168;13;-32.3;2076;12.6;2.6;2186;15;-40.7;2123;13.1;-48;2122;15;26.6;2129;13.1;-8.3;2165;15.4;-35.6;2143;14.5;49.7;2068;12.7;34;0;0.302;16;30;;;;;;;;;;53.4;935;7.22;3.65;0.658;849518;0;12.8;5412;5.09;0;1.03
10/12/2024 04:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0508;11;14;0;0;0;0.973;15.3;31.7;;;;;;;;;;;;
10/12/2024 04:30;613;10.5;1475;1409;13.2;665;1531;14;580;1948;11.7;86.7;2101;14;5.4;1814;11.8;251;2168;13;-32.7;2075;12.5;2.3;2186;15;-40;2122;13;-48.5;2122;15;26.1;2128;13;-8.1;2165;15.4;-35.6;2143;14.6;50.2;2067;12.6;34.1;0;0.301;16;30;;;;;;;;;;53.5;935;7.12;3.65;0.797;849528;0;12.8;5415;5.9;0;0.26
10/12/2024 04:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0503;10.9;14;0;0;0;0.973;15.2;31.7;;;;;;;;;;;;
10/12/2024 04:45;612;10.5;1475;1408;13.1;665;1530;14;581;1947;11.6;86.3;2101;14;5;1814;11.8;251;2168;13;-32.5;2074;12.5;2.2;2186;15;-39.9;2121;13;-48.3;2122;15;26.6;2127;13;-8.5;2165;15.4;-35.6;2143;14.5;49.7;2066;12.6;33.2;0;0.298;16;30;;;;;;;;;;53.4;935;7.05;3.65;0.528;849532;0;12.8;5417;6.53;0;1.52
10/12/2024 04:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0505;10.8;14;0;0;0;0.975;15.2;31.7;;;;;;;;;;;;
