Time;FRT 01 pressure [kPa];FRT 01 temperature [degC];FRT 01 tension [kPa];FRT 02 pressure [kPa];FRT 02 temperature [degC];FRT 02 tension [kPa];FRT 03 pressure [kPa];FRT 03 temperature [degC];FRT 03 tension [kPa];FRT E-01 pressure [kPa];FRT E-01 temperature [degC];FRT E-01 tension [kPa];FRT E-02 pressure [kPa];FRT E-02 temperature [degC];FRT E-02 tension [kPa];FRT E-03 pressure [kPa];FRT E-03 temperature [degC];FRT E-03 tension [kPa];FRT E-04 pressure [kPa];FRT E-04 temperature [degC];FRT E-04 tension [kPa];FRT E-05 pressure [kPa];FRT E-05 temperature [degC];FRT E-05 tension [kPa];FRT E-06 pressure [kPa];FRT E-06 temperature [degC];FRT E-06 tension [kPa];FRT E-07 pressure [kPa];FRT E-07 temperature [degC];FRT E-07 tension [kPa];FRT E-08 pressure [kPa];FRT E-08 temperature [degC];FRT E-08 tension [kPa];FRT E-09 pressure [kPa];FRT E-09 temperature [degC];FRT E-09 tension [kPa];FRT E-10 pressure [kPa];FRT E-10 temperature [degC];FRT E-10 tension [kPa];FRT E-11 pressure [kPa];FRT E-11 temperature [degC];FRT E-11 tension [kPa];FRT E-12 pressure [kPa];FRT E-12 temperature [degC];FRT E-12 tension [kPa];LBC active [];LBC pressure [kPa];LBC pressure post [kPa];LBC setpoint H [%];LBC setpoint P [kPa];UMP 01 EC [mS/cm];UMP 01 temperature [degC];UMP 01 water content [Vol%];UMP 02 EC [mS/cm];UMP 02 temperature [degC];UMP 02 water content [Vol%];UMP 03 EC [mS/cm];UMP 03 temperature [degC];UMP 03 water content [Vol%];air humidity [%];air pressure [hPa];air temperature [degC];battery logger [V];global radiation  [W/m2];lysimeter weight [g];rain sum [mm];supply voltage [V];tank weight [g];temperature logger [degC];water discharge [ml];wind speed [m/s]
10/06/2023 02:00;1736;29.6;785;2329;28.4;79.1;2311;26.7;74.9;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;29.8;;16;30;;;;;;;;;;42.6;935;24.1;3.65;0.847;862744;0;13;7332;24.6;0;0.644
10/06/2023 02:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00401;31.6;9.94;0;0;0;1.74;28.1;41.4;;;;;;;;;;;;
10/06/2023 02:15;1733;29.5;786;2329;28.4;79.2;2311;26.7;75.4;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;27.4;;16;30;;;;;;;;;;42.8;935;24;3.63;0.847;862746;0;13;7331;24.4;0;1.03
10/06/2023 02:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00401;31.4;9.94;0;0;0;1.74;28.1;41.4;;;;;;;;;;;;
10/06/2023 02:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;
10/06/2023 02:30;1730;29.4;787;2328;28.4;79.3;2311;26.7;74.7;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;29.8;;16;30;;;;;;;;;;44.7;935;23;3.65;0.846;862749;0;13;7333;24.2;0;0.455
10/06/2023 02:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00396;31.3;9.94;0;0;0;1.74;28.1;41.3;;;;;;;;;;;;
10/06/2023 02:45;1728;29.3;787;2328;28.4;79.4;2311;26.7;75.1;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;27.4;;16;30;;;;;;;;;;43.8;935;23.7;3.63;0.797;862750;0;13;7331;24;0;1.04
10/06/2023 02:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00396;31.1;9.94;0;0;0;1.74;28.1;41.3;;;;;;;;;;;;
10/06/2023 02:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;
10/06/2023 03:00;1725;29.1;787;2327;28.4;79.8;2311;26.7;75.1;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;29.8;;16;30;;;;;;;;;;43.3;935;23.8;3.65;0.837;862751;0;13;7331;24;0;0.567
10/06/2023 03:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00391;31;9.94;0;0;0;1.74;28.1;41.3;;;;;;;;;;;;
10/06/2023 03:15;1723;29.1;787;2327;28.4;80;2311;26.7;75.1;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;27.4;;16;30;;;;;;;;;;44.7;935;23;3.63;0.847;862755;0;13;7331;23.8;0;0.212
10/06/2023 03:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0039;30.9;9.94;0;0;0;1.74;28.1;41.3;;;;;;;;;;;;
10/06/2023 03:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;
10/06/2023 03:30;1721;28.9;787;2326;28.4;80.2;2311;26.8;75.2;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;29.8;;16;30;;;;;;;;;;45.2;935;22.7;3.65;0.926;862752;0;13;7331;23.8;0;0.084
10/06/2023 03:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00387;30.7;9.94;0;0;0;1.74;28.1;41.4;;;;;;;;;;;;
10/06/2023 03:45;1719;28.8;786;2325;28.3;80.4;2311;26.8;75.5;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;27.4;;16;30;;;;;;;;;;45.7;935;22.3;3.65;0.886;862754;0;13;7330;23.6;0;0.392
10/06/2023 03:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00387;30.6;9.94;0;0;0;1.74;28.1;41.4;;;;;;;;;;;;
10/06/2023 03:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;
10/06/2023 04:00;1718;28.7;786;2325;28.3;80.5;2311;26.8;75.4;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;29.8;;16;30;;;;;;;;;;44.2;935;23.3;3.65;0.906;862757;0;13;7329;23.5;0;0.255
10/06/2023 04:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00385;30.5;9.94;0;0;0;1.74;28.2;41.4;;;;;;;;;;;;
10/06/2023 04:15;1717;28.6;785;2324;28.3;81.1;2311;26.8;75.5;-1000;-1000;-1000;50;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1;27.4;;16;30;;;;;;;;;;46.2;935;22.2;3.65;0.886;862756;0;12.8;7328;23.3;0;0.284
10/06/2023 04:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00384;30.4;9.94;0;0;0;1.74;28.2;41.4;;;;;;;;;;;;
10/06/2023 04:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;
