Time;FRT 01 pressure [kPa];FRT 01 temperature [degC];FRT 01 tension [kPa];FRT 02 pressure [kPa];FRT 02 temperature [degC];FRT 02 tension [kPa];FRT 03 pressure [kPa];FRT 03 temperature [degC];FRT 03 tension [kPa];FRT E-01 pressure [kPa];FRT E-01 temperature [degC];FRT E-01 tension [kPa];FRT E-02 pressure [kPa];FRT E-02 temperature [degC];FRT E-02 tension [kPa];FRT E-03 pressure [kPa];FRT E-03 temperature [degC];FRT E-03 tension [kPa];FRT E-04 pressure [kPa];FRT E-04 temperature [degC];FRT E-04 tension [kPa];FRT E-05 pressure [kPa];FRT E-05 temperature [degC];FRT E-05 tension [kPa];FRT E-06 pressure [kPa];FRT E-06 temperature [degC];FRT E-06 tension [kPa];FRT E-07 pressure [kPa];FRT E-07 temperature [degC];FRT E-07 tension [kPa];FRT E-08 pressure [kPa];FRT E-08 temperature [degC];FRT E-08 tension [kPa];FRT E-09 pressure [kPa];FRT E-09 temperature [degC];FRT E-09 tension [kPa];FRT E-10 pressure [kPa];FRT E-10 temperature [degC];FRT E-10 tension [kPa];FRT E-11 pressure [kPa];FRT E-11 temperature [degC];FRT E-11 tension [kPa];FRT E-12 pressure [kPa];FRT E-12 temperature [degC];FRT E-12 tension [kPa];LBC active [];LBC pressure [kPa];LBC setpoint H [%];LBC setpoint P [kPa];UMP 01 EC [mS/cm];UMP 01 temperature [degC];UMP 01 water content [Vol%];UMP 02 EC [mS/cm];UMP 02 temperature [degC];UMP 02 water content [Vol%];UMP 03 EC [mS/cm];UMP 03 temperature [degC];UMP 03 water content [Vol%];air humidity [%];air pressure [hPa];air temperature [degC];battery logger [V];global radiation  [W/m2];lysimeter weight [g];rain sum [mm];supply voltage [V];tank weight [g];temperature logger [degC];water discharge [ml];wind speed [m/s]
10/12/2023 01:00;1514;16;710;1740;15.9;399;1788;15.8;365;2172;14.3;-75;2136;14.5;-18.7;2178;14;-59.4;2196;13.8;-42.2;2200;15.5;-50.3;2124;16.5;59.1;2212;14.7;-99;1994;15.8;173;2164;14.4;-9.7;2172;15.5;-42.3;2232;16.3;4.5;2196;15.3;-29.5;0;0.167;16;30;;;;;;;;;;44.6;948;10.2;3.68;0.538;848997;0;13.1;6652;11.4;0;0.0113
10/12/2023 01:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0321;16.9;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 01:15;1512;15.9;710;1740;15.9;399;1788;15.8;365;2171;14.3;-75.1;2136;14.5;-19;2177;14;-59.8;2196;13.8;-42.6;2200;15.5;-49.8;2124;16.5;58.5;2212;14.6;-99;1995;15.7;171;2163;14.4;-9.3;2172;15.5;-42.4;2232;16.3;3.6;2196;15.3;-29.3;0;0.164;16;30;;;;;;;;;;40.2;948;10.2;3.65;0.498;848408;0;13.1;6650;11.1;0;0.0108
10/12/2023 01:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0322;16.8;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 01:30;1509;15.8;710;1739;15.9;399;1789;15.8;364;2169;14.2;-74.8;2137;14.5;-19;2177;14;-59.1;2196;13.8;-42.3;2199;15.5;-50.2;2125;16.6;58.6;2212;14.6;-98.8;1996;15.8;171;2162;14.4;-9.2;2172;15.5;-42.1;2232;16.4;4.7;2195;15.3;-29.7;0;0.166;16;30;;;;;;;;;;35.3;948;11;3.65;0.538;847936;0;13.1;6648;10.8;0;0.685
10/12/2023 01:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0314;16.7;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 01:45;1507;15.7;711;1739;15.9;399;1789;15.8;365;2168;14.2;-74.8;2137;14.5;-18.8;2176;13.9;-59.5;2196;13.8;-42.6;2198;15.5;-49.7;2125;16.6;57.9;2211;14.6;-98.9;1997;15.8;170;2161;14.3;-9.4;2172;15.5;-42.3;2232;16.3;4.1;2194;15.2;-29.5;0;0.166;16;30;;;;;;;;;;34.8;948;11.3;3.65;0.498;849814;0;13.1;6648;10.6;0;0.726
10/12/2023 01:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.032;16.6;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 02:00;1504;15.6;710;1738;15.9;400;1789;15.8;364;2167;14.1;-75.2;2137;14.5;-18.7;2175;13.9;-59.2;2196;13.8;-42.4;2197;15.4;-50.1;2125;16.6;57.8;2211;14.6;-98.3;1998;15.7;168;2160;14.3;-9.6;2173;15.5;-42.2;2232;16.4;5.1;2193;15.2;-29.2;0;0.165;16;30;;;;;;;;;;34.8;948;11.9;3.65;0.498;849359;0;13.1;6647;10.5;0;0.0117
10/12/2023 02:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0314;16.4;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 02:15;1502;15.5;710;1738;15.9;400;1789;15.8;364;2165;14;-74.9;2137;14.5;-18.8;2174;13.8;-59.6;2197;13.8;-42.3;2197;15.4;-49.9;2126;16.6;57.2;2210;14.6;-99.1;1999;15.8;167;2159;14.2;-10.2;2173;15.5;-42;2232;16.4;4.4;2192;15.2;-29;0;0.166;16;30;;;;;;;;;;40.2;948;9.56;3.65;0.488;849354;0;13.1;6645;10.4;0;0.011
10/12/2023 02:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0312;16.3;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 02:30;1500;15.4;710;1738;15.9;401;1789;15.9;365;2164;14;-75;2137;14.5;-19;2173;13.8;-59.7;2197;13.8;-42.1;2196;15.4;-49.9;2126;16.6;57.6;2210;14.6;-98.7;2000;15.8;166;2158;14.2;-9.7;2173;15.5;-42.5;2233;16.4;4.4;2191;15.1;-29.3;0;0.167;16;30;;;;;;;;;;42.7;948;9.43;3.65;0.488;848907;0;13.1;6644;10.3;0;0.0644
10/12/2023 02:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0311;16.2;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 02:45;1498;15.3;709;1737;15.8;401;1790;15.9;365;2163;13.9;-75.1;2138;14.5;-19;2173;13.8;-59.2;2197;13.8;-41.8;2195;15.3;-49.9;2127;16.6;56.7;2209;14.6;-98.4;2002;15.8;165;2157;14.2;-9.5;2173;15.5;-42.1;2233;16.4;4.7;2191;15.1;-29.3;0;0.167;16;30;;;;;;;;;;41.2;948;9.56;3.65;0.478;849823;0;13.1;6641;10.1;0;0.0106
10/12/2023 02:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0313;16.1;13.1;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 03:00;1496;15.2;709;1736;15.8;401;1790;15.9;364;2161;13.9;-75.3;2138;14.5;-19.3;2172;13.7;-59.5;2197;13.8;-41.8;2194;15.3;-50;2127;16.6;56.6;2209;14.5;-98.3;2003;15.8;165;2156;14.1;-9.8;2173;15.5;-42.3;2233;16.4;4.6;2190;15.1;-29.3;0;0.167;16;30;;;;;;;;;;40.2;948;9.93;3.65;0.408;849397;0;13.1;6640;9.91;0;0.306
10/12/2023 03:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0311;16;12.9;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
10/12/2023 03:15;1494;15.1;708;1736;15.8;401;1790;15.9;365;2160;13.8;-75.2;2138;14.5;-19;2171;13.7;-60;2197;13.9;-41.6;2193;15.2;-50;2128;16.6;56.4;2208;14.5;-98.8;2004;15.8;164;2155;14;-9.9;2173;15.5;-42.4;2233;16.4;4;2189;15;-29.4;0;0.172;16;30;;;;;;;;;;42.7;948;9.07;3.65;0.508;850188;0;13.1;6640;9.73;0;0.0346
10/12/2023 03:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0306;15.9;12.9;0;0;0;1.13;17.1;32.8;;;;;;;;;;;;
